gender,sweet_tooth,chocolate_brands,spent_per_week
Female,No,4,0
Female,Yes,4,4
Female,No,2,0
Female,Yes,3,4
Female,No,2,0
Female,Yes,3,7
Female,Yes,3,0
Female,No,4,0
Female,Yes,4,3
Female,Yes,2,5
Female,No,2,0
Female,No,2,0
Female,Yes,4,4
Female,Yes,8,6
Female,Yes,7,7
Female,Yes,7,6
Female,No,6,0
Female,No,8,0
Female,No,8,0
Female,Yes,10,7
Female,Yes,8,7
Female,Yes,9,6
Female,No,8,0
Female,Yes,8,0
Female,No,6,0
Female,Yes,8,6
Female,No,8,0
Female,Yes,7,5
Female,Yes,10,6
Female,Yes,7,5
Female,Yes,8,6
Female,Yes,10,0
Female,Yes,9,8
Female,Yes,7,5
Female,No,5,0
Female,No,6,0
Female,No,9,0
Female,Yes,8,7
Female,Yes,4,4
Female,No,6,0
Female,No,3,0
Female,No,4,0
Female,Yes,6,3
Female,No,6,0
Female,Yes,4,0
Female,No,5,0
Female,Yes,7,5
Female,Yes,5,3
Female,No,4,0
Female,Yes,3,4
Female,Yes,8,4
Female,Yes,6,0
Female,No,5,0
Female,Yes,6,3
Female,Yes,8,5
Female,Yes,6,6
Female,Yes,6,0
