gender,sweet_tooth,chocolate_brands,spent_per_week
Male,No,3,0
Male,Yes,3,0
Male,No,2,0
Male,Yes,5,5
Male,No,3,0
Male,Yes,5,6
Male,No,4,0
Male,No,3,0
Male,Yes,5,7
Male,No,2,0
Male,Yes,6,5
Male,No,5,0
Male,Yes,4,5
Male,No,2,0
Male,Yes,6,5
Male,Yes,9,5
Male,No,8,0
Male,No,9,0
Male,Yes,6,0
Male,Yes,10,5
Male,No,9,0
Male,No,9,0
Male,Yes,7,5
Male,No,10,0
Male,Yes,6,4
Male,No,7,0
Male,No,6,0
Male,Yes,7,6
Male,No,6,0
Male,No,2,0
Male,No,6,0
Male,Yes,7,4
Male,Yes,7,6
Male,No,5,0
Male,Yes,8,3
Male,Yes,4,3
Male,Yes,7,5
Male,No,6,0
Male,Yes,9,7
Male,Yes,5,5
Male,Yes,7,3
Male,No,8,0
Male,No,5,4
Male,No,7,0
Male,Yes,7,0
Male,No,6,0
Male,Yes,4,3
