Year,PM,OC,TC,LC
Year 2,27,15.79,19.46,2.06
Year 2,24.7,13.61,15.98,3.1
Year 2,21.8,12.94,15.79,2.68
Year 2,23.2,12.97,16.32,2.8
Year 2,23.3,11.19,13.49,2.07
Year 2,16.2,9.61,12.44,2.14
Year 2,13.4,6.97,8.4,2.32
Year 2,13,7.96,10.02,2.18
Year 2,16.9,8.43,11.08,2.06
Year 2,26.3,14.92,21.46,1.94
Year 2,31.4,17.15,20.57,1.85
Year 2,40.1,15.13,19.64,2.11
Year 2,28,8.66,10.75,2.5
Year 2,4.2,15.95,20.36,2.27
Year 2,15.9,11.73,14.59,2.17
Year 2,20.5,14.34,17.64,2.74
Year 2,23.8,8.99,11.75,2.45
Year 2,14.6,10.63,13.12,
Year 2,17.8,,,
